Centro;Emplazamiento;Denominación
1000;Q030204024;M. J.J. CAAMAÑO AREA TECNICA - CUB2
1000;Q030204025;M. J.J. CAAMAÑO SALA DE REUNIONES
1000;Q030204026;M. J.J. CAAMAÑO CAFETERIA
1000;Q030204027;M. J.J. CAAMAÑO ARCHIVO ADMINISTRATIVO
1000;Q030204028;M. J.J. CAAMAÑO AREA SERVIDORESP3
1000;Q030204029;M. J.J. CAAMAÑO CÁMARA DE GASES NOBLES
1000;Q030204030;M. J.J. CAAMAÑOCUARTO OTRS BIENES CULT.
1000;Q030204031;M. J.J. CAAMAÑOTERRAZA 1 Y 2 (3ER PISO)
1000;Q030204032;M. J.J. CAAMAÑO TALLER RESTAUR.BIENES
1000;Q030300001;DIR. INFORMÁTICA DIRECCIÓN
1000;Q030300002;DIR. INFORMÁTICA SECRETARÍA
1000;Q030300003;DIR. INFORMÁTICA SOPORTE TÉCNICO
1000;Q030300004;DIR. INFORMÁTICA SERVICIOS INFORMÁTICOS
1000;Q030300005;DIR. INFORMÁTICA INSTALACIONES DE RED
1000;Q030300006;DIR. INFORMÁTICA DESARROLLO DE SISTEMAS
1000;Q030300007;DIR. INFORMÁTICA SALA GENERAL
1000;Q030300008;DIR. INFORMÁTICA APOYO A USUARIOS
1000;Q030300009;"DIR. INFORMÁTICA OFICINAS 326; 327; 328"
1000;Q030300010;DIR. INFORMÁTICA INFORMÁTICA BÁSICA
1000;Q030300011;DIR. INFORMÁTICA BODEGA REDES OFC. 312
1000;Q030300012;DIR. INFORMÁTICA PASILLOS Y HALLS
1000;Q030300013;DIR. INFORMÁTICA BAÑOS Y BODEGAS
1000;Q030300014;DIR. INFORMÁTICA CENTRO DE COMPUTO
1000;Q030300015;DIR. INFORMÁTICA SUBSUELO
1000;Q030300016;DIR. INFORMÁTICA AULA 209
1000;Q030300017;DIR. INFORMÁTICA AULA 202
1000;Q030300018;DIR. INFORMÁTICA AULA 201
1000;Q030300019;DIR. INFORMÁTICA AULA 214
1000;Q030300020;DIR. INFORMÁTICA AULA 213
1000;Q030300021;DIR. INFORMÁTICA AULA 212
1000;Q030300022;DIR. INFORMÁTICA AULA 207
1000;Q030300023;DIR. INFORMÁTICA AULA 210
1000;Q030300024;DIR. INFORMÁTICA AULA 211
1000;Q030300025;DIR. INFORMÁTICA AULA 203
1000;Q030300026;DIR. INFORMÁTICA AULA 206
1000;Q030300027;DIR. INFORMÁTICA AULA 205
1000;Q030300028;DIR. INFORMÁTICA AULA 204
1000;Q030300029;DIR. INFORMÁTICA AULA 208
1000;Q030300030;DIR. INFORMÁTICA SERVICIO EXPRESO
1000;Q030300031;DIR. INFORMÁTICA CÁMARA REGULADORA
1000;Q030300032;DIR. INFORMÁTICA AULA 112
1000;Q030300033;DIR. INFORMÁTICA AULA 111
1000;Q030300034;DIR. INFORMÁTICA AULA 110
1000;Q030300035;DIR. INFORMÁTICA AULA 115
1000;Q030300036;DIR. INFORMÁTICA AULA 114
1000;Q030300037;DIR. INFORMÁTICA AULA 113
1000;Q030300038;DIR. INFORMÁTICA AULA 101 VIDEOCONF.
1000;Q030300039;DIR. INFORMÁTICA AULA 102
1000;Q030300040;DIR. INFORMÁTICA AULA 103
1000;Q030300041;DIR. INFORMÁTICA AULA 104
1000;Q030300042;DIR. INFORMÁTICA AULA 107
1000;Q030300043;DIR. INFORMÁTICA AULA 108
1000;Q030300044;DIR. INFORMÁTICA AULA 109
1000;Q030300045;DIR. INFORMÁTICA AULA 106
1000;Q030300046;DIR. INFORMÁTICA AULA 105
1000;Q030300047;DIR. INFORMÁTICA SALA DE SERVIDORES
1000;Q030300048;DIR. INFORMÁTICA SALA DE REUNIONES
1000;Q030300049;DIR. INFORMÁTICA ANDINATEL
1000;Q030300050;DIR. INFORMÁTICA PROY.EQUIP.PROFESORES
1000;Q030300051;DIR. INFORMÁTICA DUCTO EDF. ADMIN.
1000;Q030300052;DIR. INFORMÁTICA BODEGA TORRE 2
1000;Q030300053;DIR. INFORMÁTICA SALA EXPRESS TORRE 2
1000;Q030300054;DIR. INFORMÁTICA SALA DE CAPACITACIÓN
1000;Q030300055;DIR. INFORMÁTICA CAFETERÍA
1000;Q030300056;DIR. INFORMÁTICA ADMIN.BASE DATOS
1000;Q030300057;DIR. INFORMÁTICA PROY. EQ.DOCENT.FASEII
1000;Q030300058;DIR. INFORMÁTICA OF.SEGURID.INFORMACIÓN
1000;Q030300059;DIR. INFORMÁTICA AULA 208-209-210
1000;Q030300060;DIR. INFORMÁTICA PUCEMAS DIRECCIÓN
1000;Q030300061;DIR. INFORMÁTICA PUCEMAS OFICINA 1
1000;Q030300062;DIR. INFORMÁTICA PUCEMAS OFICINA 2
1000;Q030300063;DIR. INFORMÁTICA PUCEMAS SALA.SESIONES
1000;Q030300064;DIR. INFORMÁTICA PUCEMAS OFICINA 3
1000;Q030300065;DIR. INFORMÁTICA PUCEMAS OFICINA 4
1000;Q030300066;DIR. INFORMÁTICA PUCEMAS SALA.REUNIONES
1000;Q030300067;DIR. INFORMÁTICA PUCEMAS CAFETERIA
1000;Q030300068;DIR. INFORMÁTICA PUCEMAS CUBICULOS
1000;Q030300069;DIR. INFORMÁTICAAULA 116
1000;Q030300070;DIR. INFORMÁTICAAULA 117
1000;Q030301001;DES.SOFTWARE DESARROLLO DE SOFTWARE
1000;Q030302001;REDES REDES
1000;Q030303001;OPERACIONES    SOPORTE TÉCNICO
1000;Q030304001;DIR. INV. POSGRADOS CURSOS Y TECNOLOGÍA
1000;Q030305001;CON.EXTERNA OFICINA
1000;Q030400001;DIR. PASTORAL DIRECCIÓN OFC. 003
1000;Q030400002;DIR. PASTORAL SECRETARÍA OFC. 005
1000;Q030400003;DIR. PASTORAL SECRETARÍA OFC. 116
1000;Q030400004;DIR. PASTORAL SALA.REUNIONES OFC. 301
1000;Q030400005;DIR. PASTORAL OFICINA 103
1000;Q030400006;DIR. PASTORAL SALA.PROFESORES OFIC.104
1000;Q030400007;DIR. PASTORAL OFICINA 105
1000;Q030400008;DIR. PASTORAL ESTELA OFICINA 203
1000;Q030400009;DIR. PASTORAL OFIC.ESTELAP.MARCORUEDA
1000;Q030400010;DIR. PASTORAL BIBLIOTECA OFC. 004
1000;Q030400011;DIR. PASTORAL CAPILLA 001
1000;Q030400012;DIR. PASTORAL AULA 002 PEDRO ARRUPE
1000;Q030400013;DIR. PASTORALSALA.AUREL.ESPINOZA OF.006
1000;Q030400014;DIR. PASTORAL SALA MEDITACIÓN OF.303
1000;Q030400015;DIR. PASTORAL CAFETERÍA OFC. 202
1000;Q030400016;DIR. PASTORAL PASILLOS Y HALLS
1000;Q030400017;DIR. PASTORAL BAÑOS Y BODEGA
1000;Q030400018;DIR. PASTORAL PASILLO TERRAZA
1000;Q030400019;DIR. PASTORAL BODEGA TERRAZA
1000;Q030400020;DIR. PASTORAL OFICINA 205
1000;Q030400021;DIR. PASTORAL OFICINA 204
1000;Q030400022;DIR. PASTORAL SALA DE VIDEO
1000;Q030400023;DIR. PASTORAL AULA JUAN XXIII
1000;Q030400024;DIR. PASTORAL SALA DE DOCENTES
1000;Q030400025;DIR. PASTORAL SALA FRANCISCO JAVIER
1000;Q030400026;DIR. PASTORAL COORD.SERV.PASTORALES
1000;Q030400027;DIR. PASTORAL PROY.HERRAM.EMPRESARIAL
1000;Q030400028;DIR. PASTORAL OFICINA 304
1000;Q030400029;DIR. PASTORAL OFICINA 305
1000;Q030400030;DIR. PASTORALLIDERAZGO UNIVER. OF.101
1000;Q030400031;DIR. PASTORAL OFICINA 102
1000;Q030500001;DIR. ASEG. CALIDAD DIRECCIÓN OFC. 304
1000;Q030500002;DIR. ASEG. CALIDAD ASIST.GESTIÓNADMINI.
1000;Q030500003;DIR. ASEG. CALIDAD SALAREUNIONES.OFC305
1000;Q030500004;DIR. ASEG. CALIDAD OFI.ESTADÍSTICA301
1000;Q030500005;DIR. ASEG. CALIDAD ARCHIVO  302
1000;Q030500006;DIR. ASEG. CALIDAD COORD.PLANIFYSEGUIM.
1000;Q030500007;DIR. ASEG. CALIDAD ASIST.GESTADMIN.II
1000;Q030500008;DIR. ASEG. CALIDADCONG.INT.AMERICANISTA
1000;Q030500009;DIR. ASEG. CALIDAD BAÑOS BODEGA OF.302
1000;Q030500010;DIR. ASEG. CALIDAD DUCTO EDIF.ADMIN.
1000;Q030500011;DIR. ASEG. CALIDAD PASILLOS Y HALLS
1000;Q030500012;DIR. ASEG. CALIDAD JEF. SEG.INFORM
1000;Q030500013;DIR. ASEG. CALIDADSECRETARÍA
1000;Q030600001;DIR. COM Y RR.PP DIRECCIÓN OFC. 102
1000;Q030600002;DIR. COM Y RR.PP SECRETARÍA
1000;Q030600003;DIR. COM Y RR.PP SALA DE REUNIONES
1000;Q030600004;DIR. COM Y RR.PP OFIC.ASISTENTE.DIREC.
1000;Q030600005;DIR. COM Y RR.PP OFICINA DE APOYO
1000;Q030600006;DIR. COM Y RR.PP DPTO.ARTE OFC. 103
1000;Q030600007;DIR. COM Y RR.PP CAFETERÍA
1000;Q030600008;DIR. COM Y RR.PP PASILLO Y HALLS
1000;Q030600009;DIR. COM Y RR.PP BAÑOS Y BODEGA
1000;Q030700001;SECRETARÍA GENERAL DIRECCIÓN
1000;Q030700002;SECRETARÍA GENERAL SECRETARÍA 004
1000;Q030700003;SECRETARÍA GENERAL SALA DE REUNIONES
1000;Q030700004;SECRETARÍA GENERAL OFICINA 005
1000;Q030700005;SECRETARÍA GENERAL ARCHIVO OFICINA 005
1000;Q030700006;SECRETARÍA GENERAL PASILLO Y HALLS
1000;Q030700007;SECRETARÍA GENERAL BAÑOS Y BODEGA
1000;Q030700008;SECRETARÍA GENERAL BODEGA HUB
1000;Q030701001;ARCHIVO CENTRAL JEFATURA
1000;Q030701002;ARCHIVO CENTRAL ARCHIVO INMEDIATO 005
1000;Q030701003;ARCHIVO CENTRAL BODEGA ARCHIVO CENTRAL
1000;Q030701004;ARCHIVO CENTRAL ASISTENTE
1000;Q030701005;ARCHIVO CENTRAL ARCHIVO NAYÓN
1000;Q030800001;INST. INV. ECONÓMICASDIRECCIÓN OFC. 219
1000;Q030800002;INST. INV. ECONÓMICAS SECRETARÍA
1000;Q030800003;INST. INV. ECONÓMICAS OFICINA 214
1000;Q030800004;INST. INV. ECONÓMICAS OFICINA 215
1000;Q030800005;INST. INV. ECONÓMICAS OF.AUXILIARES.216
1000;Q030800006;INST. INV. ECONÓMICASS.DIÁLOGOS OF.217
1000;Q030800007;INST. INV. ECONÓMICAS OF.INVEST219
1000;Q030800008;INST. INV. ECONÓMICAS ARCHIVO
1000;Q030800009;INST. INV. ECONÓMICAS OFICINA 221
1000;Q030800010;INST. INV. ECONÓMICAS OFICINA 222
1000;Q030800011;INST. INV. ECONÓMICAS OFICINA 223
1000;Q030800012;INST. INV. ECONÓMICAS BAÑOS
1000;Q030800013;INST. INV. ECONÓMICAS OFICINA 225
1000;Q030800014;INST. INV. ECONÓMICASCOMPUTOIND.ECONOMI
1000;Q030800015;INST. INV. ECONÓMICAS OFICINA 224
1000;Q030800016;INST. INV. ECONÓMICAS CAFETERIA
1000;Q030900001;DIR.PROMO.COMUNICACIÓN DIRECCIÓN
1000;Q030900002;DIR.PROMO.COMUNICACIÓN SECRETARÍA
1000;Q030900003;DIR.PROMO.COMUNICACIÓN OF. ASISTENTES
1000;Q030900004;DIR.PROMO.COMUNICACIÓN PASILLOS Y HALLS
1000;Q040000001;VICERRECTORADO DIRECCIÓN
1000;Q040000002;VICERRECTORADO SECRETARÍA
1000;Q040000003;VICERRECTORADO OFICINA 231
1000;Q040000004;VICERRECTORADO ARCHIVO
1000;Q040000005;VICERRECTORADO PASILLOS Y HALLS
1000;Q040000006;VICERRECTORADO SALA DE REUNIONES
1000;Q040400001;SEDE MANABÍ OFICINAS 314-315-316
1000;Q040900001;FUND. AURELIO ESPINOSA SECRETARÍA
1000;Q040900002;FUND. AURELIO ESPINOSA ASO.EGRESADOS
1000;Q050000001;DIR. GN. ACADÉMICA DIRECCIÓN
1000;Q050000002;DIR. GN. ACADÉMICA SECRETARÍA DGA
1000;Q050000003;DIR. GN. ACADÉMICAS.REUNIÓN INV.POS.214
1000;Q050000004;DIR. GN. ACADÉMICA BAÑOS Y BODEGA
1000;Q050000005;DIR. GN. ACADÉMICA SALA DE SESIONES DGA
1000;Q050000006;DIR. GN. ACADÉMICA SALA DE REUNIONES
1000;Q050000007;DIR. GN. ACADÉMICA OFICINA 227
1000;Q050000008;DIR. GN. ACADÉMICADIR. POSGRADOS
1000;Q050000009;DIR. GN. ACADÉMICA DIR.PLAN.CURRICULUM
1000;Q050000010;DIR. GN. ACADÉMICAAR.INV. POSGRADOS 211
1000;Q050000011;DIR. GN. ACADÉMICASECRET.POSGRADOS.211
1000;Q050000012;DIR. GN. ACADÉMICAC.PERFECCIONA.DOCENTE
1000;Q050000013;DIR. GN. ACADÉMICA ARCHIVO COPIADORA
1000;Q050000014;DIR. GN. ACADÉMICA CAFETERÍA
1000;Q050000015;DIR. GN. ACADÉMICA PASILLO Y HALLS
1000;Q050000016;DIR. GN. ACADÉMICA EVALUACION
1000;Q050000017;DIR. GN. ACADÉMICASEC.PLANIF.CURRICULUM
1000;Q050000018;DIR. GN. ACADÉMICASEC.INVESTIGAC.210
1000;Q050000019;DIR. GN. ACADÉMICA SECRET.FORM.CONTINUA
1000;Q050000020;DIR. GN. ACADÉMICARESIDENCIA PROF.
1000;Q050000021;DIR. GN. ACADÉMICA ACCION SOCIAL
1000;Q050000022;DIR. GN. ACADÉMICADI.FORMACIÓN CONTINUA
1000;Q050000023;DIR. GN. ACADÉMICACUB.2 FORMA. CONTINUA
1000;Q050000024;DIR. GN. ACADÉMICACUB.4 PLANIF. CURRICU
1000;Q050000025;DIR. GN. ACADÉMICACUB.6 PLANIF.CURRICU
1000;Q050000026;DIR. GN. ACADÉMICACOOR. ACCIÓN SOCIAL
1000;Q050000027;DIR. GN. ACADÉMICADI.NUEVAS TECNOLOGÍAS
1000;Q050000028;DIR. GN. ACADÉMICACUB 3 PLANIF. CURRICU
1000;Q050000029;DIR. GN. ACADÉMICACUB.5 PLANIF. CURRICU
1000;Q050000030;DIR. GN. ACADÉMICA ASIST. N.TECNOLOGÍAS
1000;Q050000031;DIR. GN. ACADÉMICA DIR. INVESTIGACIÓN
1000;Q050000147;ED.CUB.PROFESORESCUB. PROFESORES 225
1000;Q050000148;ED.CUB.PROFESORESCUB. PROFESORES 226
1000;Q050000149;ED.CUB.PROFESORES CUB. PROFESORES 227
1000;Q050000150;ED.CUB.PROFESORES PASILLOS Y HALLS P3
1000;Q050000151;ED.CUB.PROFESORES BAÑO DISCAPACITADOS P3
1000;Q050000152;ED.CUB.PROFESORES BAÑO MUJERES P3
1000;Q050000153;ED.CUB.PROFESORES BAÑO HOMBRES P3
1000;Q050000154;ED.CUB.PROFESORES CUARTO RACKS P3
1000;Q050000155;ED.CUB.PROFESORES CUB. PROFESORES 301
1000;Q050000156;ED.CUB.PROFESORES CUB. PROFESORES 302
1000;Q050000157;ED.CUB.PROFESORES CUB. PROFESORES 303
1000;Q050000158;ED.CUB.PROFESORES CUB. PROFESORES 304
1000;Q050000159;ED.CUB.PROFESORES CUB. PROFESORES 305
1000;Q050000160;ED.CUB.PROFESORES CUB. PROFESORES 306
1000;Q050000161;ED.CUB.PROFESORES CUB. PROFESORES 307
1000;Q050000162;ED.CUB.PROFESORES CUB. PROFESORES 308
1000;Q050000163;ED.CUB.PROFESORES CUB. PROFESORES 309
1000;Q050000164;ED.CUB.PROFESORES CUB. PROFESORES 310
1000;Q050000165;ED.CUB.PROFESORES CUB.PROFESORES 311
1000;Q050000166;ED.CUB.PROFESORES CUB.PROFESORES 312
1000;Q050000167;ED.CUB.PROFESORES CUB. PROFESORES 313
1000;Q050002001;DIR. INVESTIGACIÓNPROPIED. INTELECTUAL
1000;Q050002002;DIR. INVESTIGACIÓN COMITÉ ÉTICA INV.
1000;Q050002003;DIR. INVESTIGACIÓN DIRECCIÓN
1000;Q050002004;DIR. INVESTIGACIÓNCOOR.PROP.INTELE.TRAN
1000;Q050002005;DIR. INVESTIGACIÓNCUB. INVESTIGADORES
1000;Q050002006;DIR. INVESTIGACIÓN OFICINA DE ASISTENTES
1000;Q050002007;DIR. INVESTIGACIÓN ARCHIVO
1000;Q050002008;DIR. INVESTIGACIÓN PASILLOS Y HALLS
1000;Q050003001;DIR.POSGRADOS SECRETARÍA
1000;Q050003002;DIR.POSGRADOS DIRECCIÓN
1000;Q050003003;DIR.POSGRADOS CUBICULOS DOCENTES
1000;Q050003004;DIR.POSGRADOS ARCHIVO
1000;Q050004001;CEN.EDU.VIRTUAL.TEC JEFATURA
1000;Q050004002;CEN.EDU.VIRTUAL.TEC OFICINA ASISTENTES
1000;Q050005001;DI.FORMAC.CONT.VINCUL PASILLOS Y HALLS
1000;Q050006001;DIR.DESARR.DOCENTE DIRECCIÓN
1000;Q050006002;DIR.DESARR.DOCENTE OFICINA DE ANALISTAS
1000;Q050100001;F.CC.ADMINISTRATIVAS DECANATO
1000;Q050100002;F.CC.ADMINISTRATIVAS SECRET.DECANATO
1000;Q050100003;F.CC.ADMINISTRATIVAS SUBDECANATO
1000;Q050100004;F.CC.ADMINISTRATIVAS SECRETARIA
1000;Q050100005;F.CC.ADMINISTRATIVAS SALA DE ESPERA
1000;Q050100006;F.CC.ADMINISTRATIVAS SALA DE REUNIONES
1000;Q050100007;F.CC.ADMINISTRATIVAS SALA DE PROFESORES
1000;Q050100008;F.CC.ADMINISTRATIVAS CUB.PROFESORESP3
1000;Q050100009;F.CC.ADMINISTRATIVAS SALA DE GRADOS
1000;Q050100010;F.CC.ADMINISTRATIVAS CUB.PROFESORESP4
1000;Q050100011;F.CC.ADMINISTRATIVAS BAÑOS Y BODEGA
1000;Q050100012;F.CC.ADMINISTRATIVAS COORD.SALUD
1000;Q050100013;F.CC.ADMINISTRATIVAS COORD.CURSOSREG.
1000;Q050100014;F.CC.ADMINISTRATIVASCURSOS DE EXTENSIÓN
1000;Q050100015;F.CC.ADMINISTRATIVASMAEST.GER.PRDYCALID
1000;Q050100016;F.CC.ADMINISTRATIVASMA.NEGO. INTERN.
1000;Q050100017;F.CC.ADMINISTRATIVASPROGRAMA DIPLOMADOS
1000;Q050100018;F.CC.ADMINISTRATIVAS CENTR.INVEST.ADMIN
1000;Q050100019;F.CC.ADMINISTRATIVAS CRUNE PUCE
1000;Q050100020;F.CC.ADMINISTRATIVAS PASANT.BOLSAEMPLEO
1000;Q050100021;F.CC.ADMINISTRATIVAS AULA CRUNE 1
1000;Q050100022;F.CC.ADMINISTRATIVAS AULA CRUNE 2
1000;Q050100023;F.CC.ADMINISTRATIVAS AUDITORIO
1000;Q050100024;F.CC.ADMINISTRATIVASOFICINA DE ARCHIVOS
1000;Q050100025;F.CC.ADMINISTRATIVASCOORDINACION OF.303
1000;Q050100026;F.CC.ADMINISTRATIVAS AULAS 301-305-306
1000;Q050100027;F.CC.ADMINISTRATIVAS NOVENO PRODUC.A1
1000;Q050100028;F.CC.ADMINISTRATIVAS NOVENO FINANC.A2
1000;Q050100029;F.CC.ADMINISTRATIVASDÉCIMO PRODUCT.A2
1000;Q050100030;F.CC.ADMINISTRATIVAS PASILLOS Y HALLS
1000;Q050100031;F.CC.ADMINISTRATIVAS BAÑOS Y BODEGA
1000;Q050100032;F.CC.ADMINISTRATIVASBODEGA ADM.
1000;Q050100033;F.CC.ADMINISTRATIVASBODEGA DEL CONSERJE
1000;Q050100034;F.CC.ADMINISTRATIVAS BODEGA PEQUEÑA
1000;Q050100035;F.CC.ADMINISTRATIVASSALA DE ESPERA 1301
1000;Q050100036;F.CC.ADMINISTRATIVAS DIR. POSGRADO  ADM.
1000;Q050100037;F.CC.ADMINISTRATIVASS.COMPUTO. AULA302-4
1000;Q050100038;F.CC.ADMINISTRATIVASSECRETARÍA II
1000;Q050100039;F.CC.ADMINISTRATIVAS OFICINA
1000;Q050100040;F.CC.ADMINISTRATIVAS CEDEPEM
1000;Q050100041;F.CC.ADMINISTRATIVASCOORD.CERTFIC.CALID
1000;Q050100042;F.CC.ADMINISTRATIVAS AULAS
1000;Q050100043;F.CC.ADMINISTRATIVASCOORD. COMUNICACIÓN
1000;Q050100044;F.CC.ADMINISTRATIVASCOORD.INVESTIGACION
1000;Q050100045;F.CC.ADMINISTRATIVASCENTR.APOYO.DOCENTE
1000;Q050100046;F.CC.ADMINISTRATIVASAULAS. P4. 400-420
1000;Q050100047;F.CC.ADMINISTRATIVASC. DESARR. ORGANIZA
1000;Q050100048;F.CC.ADMINISTRATIVASSECRET.MAESTRIAS
1000;Q050100049;F.CC.ADMINISTRATIVAS SECRETARIO ABOGADO
1000;Q050100050;F.CC.ADMINISTRATIVASOF.MICRCURRICULUM.4
1000;Q050100051;F.CC.ADMINISTRATIVAS AULAS 101-111
1000;Q050100052;F.CC.ADMINISTRATIVAS AULAS 201-216
1000;Q050100053;F.CC.ADMINISTRATIVAS AULA 304
1000;Q050100054;F.CC.ADMINISTRATIVAS AULA 101
1000;Q050100055;F.CC.ADMINISTRATIVAS AULA 102
1000;Q050100056;F.CC.ADMINISTRATIVAS AULA 103
1000;Q050100057;F.CC.ADMINISTRATIVAS AULA 104
1000;Q050100058;F.CC.ADMINISTRATIVAS AULA 105
1000;Q050100059;F.CC.ADMINISTRATIVAS AULA 106
1000;Q050100060;F.CC.ADMINISTRATIVAS AULA 107
1000;Q050100061;F.CC.ADMINISTRATIVAS AULA 108
1000;Q050100062;F.CC.ADMINISTRATIVAS AULA 109
1000;Q050100063;F.CC.ADMINISTRATIVAS AULA 110
1000;Q050100064;F.CC.ADMINISTRATIVAS AULA 111
1000;Q050100065;F.CC.ADMINISTRATIVAS AULA 201
1000;Q050100066;F.CC.ADMINISTRATIVAS AULA 202
1000;Q050100067;F.CC.ADMINISTRATIVAS AULA 203
1000;Q050100068;F.CC.ADMINISTRATIVAS AULA 204
1000;Q050100069;F.CC.ADMINISTRATIVAS AULA 205
1000;Q050100070;F.CC.ADMINISTRATIVAS AULA 206
1000;Q050100071;F.CC.ADMINISTRATIVAS AULA 207
1000;Q050100072;F.CC.ADMINISTRATIVAS AULA 208
1000;Q050100073;F.CC.ADMINISTRATIVAS AULA 209
1000;Q050100074;F.CC.ADMINISTRATIVAS AULA 210
1000;Q050100075;F.CC.ADMINISTRATIVAS AULA 211
1000;Q050100076;F.CC.ADMINISTRATIVAS AULA 212
1000;Q050100077;F.CC.ADMINISTRATIVAS AULA 213
1000;Q050100078;F.CC.ADMINISTRATIVAS AULA 214
1000;Q050100079;F.CC.ADMINISTRATIVAS AULA 215
1000;Q050100080;F.CC.ADMINISTRATIVAS AULA 216
1000;Q050100081;F.CC.ADMINISTRATIVAS AULA 407
